ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER
08001007801,Colorado,CO,Adams County,8,3889,3850,2338,1288,1403,1873,3889,4.644215111040618,5.091544922768845,3112,0.800205708,3047,0.791428571,216,0.115323011,659,0.169452301,416,0.322981366,1052,0.449957228,201,0.051684238,219,0.056312677,0.236923077,9.406785245901640,76.419929999999979,0.338408934,1628.687490400152456,3083833.842215235810727,460.000000000000000,0.327868852,0.669702936,1.877369395449509,2.073401366349834,18.367974187988569,6998.315640078880278,7.074941764154086,0
08001007802,Colorado,CO,Adams County,8,4359,4349,2597,1528,1616,2322,4349,3.925402022458516,4.187222549053143,3768,0.864418445,2267,0.521269257,175,0.075366064,402,0.092435043,493,0.322643979,864,0.332691567,410,0.09405827,292,0.066987841,0.237948718,9.410792622950821,76.336720000000000,0.435366328,1446.046523956845704,2799872.350232571829110,571.000000000000000,0.353341584,0.559195805,1.580352460381603,2.447663994299391,27.299876111566704,8375.140545697520793,7.646278676905855,0
08001007900,Colorado,CO,Adams County,8,6126,6126,3794,2222,2300,3347,6112,3.235131879188500,2.993155869523462,4583,0.748122755,2460,0.401567091,145,0.043322378,446,0.072971204,259,0.116561656,1111,0.292830785,463,0.075579497,426,0.069539667,0.284102564,9.442469125683060,76.295609999999982,0.345082078,1664.437407867941602,2896339.793140918016434,1196.000000000000000,0.52,0.692192269,2.094690502231895,2.061384688154198,10.328616684623180,8800.094863897687901,7.263357616904003,0
08001008000,Colorado,CO,Adams County,8,5763,5738,3806,1922,2138,3150,5763,2.899199347483728,2.194768422218767,3989,0.692174215,1967,0.34280237,146,0.046349206,820,0.142287003,131,0.068158169,750,0.197057278,389,0.067499566,892,0.154780496,0.208205128,9.456163114754100,76.320430000000002,0.437536221,1514.809296268782418,2612348.917705818079412,1295.000000000000000,0.605706268,0.605077613,1.888195531292658,2.437295274091506,6.845090292140197,12517.926928171484178,7.596738755412646,0
08001008100,Colorado,CO,Adams County,8,1674,1477,1305,806,922,879,1460,2.865285180698237,1.647125602319775,730,0.436081243,788,0.533513879,39,0.044368601,200,0.136986301,34,0.042183623,45,0.034482759,14,0.008363202,219,0.130824373,0.17025641,9.427672131147540,76.151380000000003,0.434764801,1351.090824999999995,2686543.559389790520072,0,0,0.5323653,1.639806854565041,3.899798733647299,8.233913923355503,18395.649888651169022,8.273159027099609,0
08001008200,Colorado,CO,Adams County,8,6795,6742,4101,1651,1656,3615,6742,2.718558504594336,1.946649897046797,5232,0.769977925,1527,0.226490656,142,0.039280775,519,0.076980125,115,0.069654755,927,0.226042429,599,0.088153054,406,0.059749816,0.214358974,9.501875683060110,76.149860000000004,0.433029751,1403.066901396104868,2700019.320109484717250,562.000000000000000,0.339371981,0.55117547,1.777585116537238,2.511296632374580,1.758343137306199,35636.224976844881894,8.876570098477991,0
08001008308,Colorado,CO,Adams County,8,6087,6087,3592,2096,2104,2617,6046,4.002823920073242,3.184506981219011,5086,0.835551175,3455,0.567603089,297,0.113488728,422,0.069798214,252,0.120229008,1207,0.336024499,543,0.089206506,397,0.065220963,0.258461538,9.464215300546448,76.057890000000000,0.372932643,1245.315863217455899,2735642.574710204731673,121.000000000000000,0.057509506,0.354896094,1.317480234267733,2.729563313952299,9.831025282460342,14681.859543203459907,8.285033798445042,0
08001008309,Colorado,CO,Adams County,8,4005,3992,2340,1246,1293,2019,3957,3.123424879651244,3.440910622577271,3093,0.772284644,1391,0.348446894,111,0.054977712,444,0.112206217,254,0.203852327,879,0.375641026,259,0.064669164,308,0.07690387,0.230769231,9.406043442622950,75.912059999999983,0.302333836,1085.226871015194092,1980923.901191482786089,30.000000000000000,0.023201856,0.214654833,1.270994776904230,2.140671325713991,4.293891354625503,30497.786845012247795,7.372294975921004,0
08001008354,Colorado,CO,Adams County,8,4871,4871,3279,1517,1626,3464,4871,2.370377223483060,1.235505512575174,3884,0.797372203,480,0.098542394,50,0.01443418,419,0.086019298,75,0.049439684,363,0.110704483,293,0.06015192,253,0.051940053,0.185641026,9.131457650273219,75.045630000000003,0.198840008,937.529913481800008,868597.373196376021951,3.000000000000000,0.001845018,0.341074704,0.60185955,1.525654235796386,0.156420572,1909.728982102886903,5.678092840356889,0.080272785
08001008355,Colorado,CO,Adams County,8,5148,5148,3371,1828,1828,2850,5104,2.536634607511104,1.627534356269942,3198,0.621212121,1481,0.287684538,110,0.038596491,577,0.113048589,94,0.051422319,432,0.128151884,451,0.087606838,482,0.093628594,0.185641026,9.271077322404370,75.711179999999999,0.181542223,941.516376501161631,1239537.083719359245151,13.000000000000000,0.007111597,0.221825282,0.869875375,2.513504272223352,3.588484379878842,6664.317580078270112,6.890265631576791,0
